#
#  putidacyc 19.5 Genes link table generated on Tue Jun 21, 2016
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
G18UU-22866			
G18UU-22865			
G18UU-22864			
G18UU-22863			
G18UU-22862			
G18UU-22861			
G18UU-22860			
G18UU-22859			
G18UU-22858		pstB-II	
G18UU-22857		phoU	
G18UU-22856			
G18UU-22855			
G18UU-22854			
G18UU-22853		phoR	
G18UU-22852		phoB	
G18UU-22851			
G18UU-22850		ubiA	
G18UU-22849		ubiC	
G18UU-22848		rubA	
G18UU-22847		alkT	
G18UU-22846		hupA	
G18UU-22845			
G18UU-22844			
G18UU-22843		recG	
G18UU-22842		oxyR	
G18UU-22841		tonB	
G18UU-22840		exbD	
G18UU-22839		exbB	
G18UU-22838			
G18UU-22837			
G18UU-22836		ridA	
G18UU-22835		spoT	
G18UU-22834		rpoZ	
G18UU-22833			
G18UU-22832		puuA-II	
G18UU-22831			
G18UU-22830			
G18UU-22829		gmk	
G18UU-22828			
G18UU-22827		rph	
G18UU-22826			
G18UU-22825			
G18UU-22824		pyrE	
G18UU-22823			
G18UU-22822		argB	
G18UU-22821		algC	
G18UU-22820		dut	
G18UU-22819		dfp	
G18UU-22818			
G18UU-22817		dppA-IV	
G18UU-22816		rpmB	
G18UU-22815		rpmG	
G18UU-22814			
G18UU-22813			
G18UU-22812		kauB	
G18UU-22811			
G18UU-22810			
G18UU-22809		yjiR	
G18UU-22808			
G18UU-22807			
G18UU-22806			
G18UU-22805		lrp	
G18UU-22804		dadA-II	
G18UU-22803		dadX	
G18UU-22802		puuR	
G18UU-22801			
G18UU-22800			
G18UU-22799			
G18UU-22798		xpt	
G18UU-22797		rep	
G18UU-22796			
G18UU-22795		norM	
G18UU-22794			
G18UU-22793		ydcJ	
G18UU-22792			
G18UU-22791		amaB	
G18UU-22790		amaA	
G18UU-22789			
G18UU-22788		ycaC-IV	
G18UU-22787			
G18UU-22786			
G18UU-22785			
G18UU-22784			
G18UU-22783		opdB	
G18UU-22782			
G18UU-22781		ycaC-III	
G18UU-22780			
G18UU-22778		kefB-III	
G18UU-22777			
G18UU-22776			
G18UU-22775		ycaC-II	
G18UU-22774			
G18UU-22773			
G18UU-22772			
G18UU-22771		yifB	
G18UU-22770			
G18UU-22769			
G18UU-22768			
G18UU-22767			
G18UU-22766			
G18UU-22765			
G18UU-22764			
G18UU-22763			
G18UU-22762			
G18UU-22761		glnK	
G18UU-22760		amtB	
G18UU-22759			
G18UU-22758		had	
G18UU-22757		xerC	
G18UU-22756			
G18UU-22755		dapF	
G18UU-22754		lysA-II	
G18UU-22753			
G18UU-22752		cyaY	
G18UU-22751			
G18UU-22749		rnk	
G18UU-22748		cyaA	
G18UU-22747			
G18UU-22746		elbB	
G18UU-22745			
G18UU-22744			
G18UU-22743		ppk	
G18UU-22742		ppx	
G18UU-22741		trxA	
G18UU-22739		rho	
G18UU-22738		ubiD	
G18UU-22737			
G18UU-22736			
G18UU-22735			
G18UU-22734			
G18UU-22733			
G18UU-22732		yhhJ	
G18UU-22731		rbbA	
G18UU-22730		yhiI	
G18UU-22729			
G18UU-22728			
G18UU-22727		fau	
G18UU-22725			
G18UU-22724			
G18UU-22723			
G18UU-22722		pepP	
G18UU-22721		ubiH	
G18UU-22720			
G18UU-22719		visC	
G18UU-22718		fbpA	
G18UU-22717			
G18UU-22716		gcvT-II	
G18UU-22715		gcvH-II	
G18UU-22714		gcvP-II	
G18UU-22713			
G18UU-22712			
G18UU-22711			
G18UU-22710			
G18UU-22709		ygiF	
G18UU-22708		argE	
G18UU-22707		argA	
G18UU-22706		spuI	
G18UU-22704		spuB	
G18UU-22703		spuC-II	
G18UU-22702		spuD	
G18UU-22701		spuE	
G18UU-22700		spuF	
G18UU-22699		spuG	
G18UU-22698		spuH	
G18UU-22697			
G18UU-22696			
G18UU-22695			
G18UU-22694			
G18UU-22692		sbp-II	
G18UU-22691		cysU	
G18UU-22690		cysW	
G18UU-22689		cysA	
G18UU-22687			
G18UU-22686		plpB	
G18UU-22685			
G18UU-22684		maa	
G18UU-22683			
G18UU-22682			
G18UU-22681			
G18UU-22680			
G18UU-22679			
G18UU-22678			
G18UU-22677			
G18UU-22676		serA	
G18UU-22675			
G18UU-22674		ycgM	
G18UU-22673			
G18UU-22672			
G18UU-22671		rpiA	
G18UU-22670		ilvA-II	
G18UU-22669			
G18UU-22668			
G18UU-22667		rppH	
G18UU-22666		ptsP	
G18UU-22665			
G18UU-22664			
G18UU-22663		lgt	
G18UU-22662		thyA	
G18UU-22661			
G18UU-22660		cadA-III	
G18UU-22659			
G18UU-22658		fbpC	
G18UU-22657			
G18UU-22656			
G18UU-22655			
G18UU-22654			
G18UU-22653		folA	
G18UU-22652		tcyP	
G18UU-22651		pchP	
G18UU-22650			
G18UU-22649		ilvD	
G18UU-22648		rlmI	
G18UU-22647			
G18UU-22646		mutM	
G18UU-22645		yfhL	
G18UU-22644		coaD	
G18UU-22643			
G18UU-22642			
G18UU-22641		calB	
G18UU-22640			
G18UU-22639		sseA	
G18UU-22638		yheT	
G18UU-22637			
G18UU-22636			
G18UU-22635			
G18UU-22634			
G18UU-22633			
G18UU-22632		ftsY	
G18UU-22631		ftsE	
G18UU-22630		ftsX	
G18UU-22629		rpoH	
G18UU-22628		mtgA	
G18UU-22627		ygdD	
G18UU-22626			
G18UU-22625		thiG	
