G18UU-22722-MONOMER	G18UU-22722		proline aminopeptidase P II	
G18UU-22721-MONOMER	G18UU-22721		2-octaprenyl-6-methoxyphenyl hydroxylase	
G18UU-22720-MONOMER	G18UU-22720		conserved protein of unknown function	
G18UU-22719-MONOMER	G18UU-22719		putative oxidoreductase involved in anerobic synthesis of ubiquinone, FAD/NAD(P)-binding domain	
G18UU-22718-MONOMER	G18UU-22718		putative iron(III)|iron ABC transporter, periplasmic iron-binding protein	
G18UU-22717-MONOMER	G18UU-22717		putative Iron ABC transporter, permease protein	
G18UU-22716-MONOMER	G18UU-22716		aminomethyltransferase	
G18UU-22715-MONOMER	G18UU-22715		glycine cleavage system H protein 2	
G18UU-22714-MONOMER	G18UU-22714		glycine dehydrogenase	
G18UU-22713-MONOMER	G18UU-22713		conserved exported protein of unknown function	
G18UU-22712-MONOMER	G18UU-22712		Type II secretion system protein	
G18UU-22711-MONOMER	G18UU-22711		conserved protein of unknown function	
G18UU-22710-MONOMER	G18UU-22710		putative transcriptional regulator (AsnC/Lrp family)	
G18UU-22709-MONOMER	G18UU-22709		putative thiamine triphosphatase	
G18UU-22708-MONOMER	G18UU-22708		acetylornithine deacetylase	
G18UU-22707-MONOMER	G18UU-22707		acetylglutamate kinase-like protein (regulatory domain)/amino acid N-acetyltransferase	
G18UU-22706-MONOMER	G18UU-22706		glutamylpolyamine synthetase	
G18UU-22704-MONOMER	G18UU-22704		glutamylpolyamine synthetase	
G18UU-22703-MONOMER	G18UU-22703		polyamine:pyruvate transaminase	
G18UU-22702-MONOMER	G18UU-22702		spermidine/putrescine ABC transporter - periplasmic subunit	
G18UU-22701-MONOMER	G18UU-22701		spermidine/putrescine ABC transporter - periplasmic subunit	
G18UU-22700-MONOMER	G18UU-22700		spermidine/putrescine ABC transporter - ATP binding subunit	
G18UU-22699-MONOMER	G18UU-22699		spermidine/putrescine ABC transporter - inner membrane subunit	
G18UU-22698-MONOMER	G18UU-22698		spermidine/putrescine ABC transporter - permease subunit	
G18UU-22697-MONOMER	G18UU-22697		conserved protein of unknown function	
G18UU-22696-MONOMER	G18UU-22696		HlyD family secretion protein	
G18UU-22695-MONOMER	G18UU-22695		Efflux membrane fusion protein, RND family	
G18UU-22694-MONOMER	G18UU-22694		RND efflux transporter	
G18UU-22693-MONOMER	G18UU-22693		hypothetical protein	
G18UU-22692-MONOMER	G18UU-22692		sulfate ABC transporter	
G18UU-22691-MONOMER	G18UU-22691		sulfate ABC transporter, inner membrane subunit CysT	
G18UU-22690-MONOMER	G18UU-22690		sulfate ABC transporter, inner membrane subunit CysW	
G18UU-22689-MONOMER	G18UU-22689		sulfate/thiosulfate import ATP-binding protein	
G18UU-22688-MONOMER	G18UU-22688		conserved hypothetical protein	
G18UU-22687-MONOMER	G18UU-22687		Sigma-54 dependent transcriptional regulator	
G18UU-22686-MONOMER	G18UU-22686		NLPA lipoprotein	
G18UU-22685-MONOMER	G18UU-22685		Penicillin amidase family protein	
G18UU-22684-MONOMER	G18UU-22684		maltose acetyltransferase	
